Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
Kevin Durant,SF,23,OKC,20,837,27.5,.632,.287,.402,1.9,19.0,10.6,16.4,1.8,2.4,12.3,28.8,3.5,0.6,4.0,.231,7.3,0.8,8.1,2.2,2012
Marc Gasol,C,27,MEM,7,261,19.5,.603,.014,.623,7.3,15.0,11.0,15.9,0.4,4.3,12.9,17.9,0.8,0.3,1.1,.204,2.9,2.8,5.7,0.5,2012
Pau Gasol,PF,31,LAL,12,444,17.0,.482,.035,.203,9.0,18.7,13.7,16.7,0.7,4.0,11.4,17.9,0.6,0.2,0.8,.088,1.3,1.0,2.3,0.5,2012
Paul George,SG,21,IND,11,371,12.5,.499,.432,.295,4.7,18.0,11.4,11.8,2.6,0.9,16.4,16.0,0.2,0.6,0.8,.103,-0.1,2.0,1.9,0.4,2012
Blake Griffin,PF,22,LAC,11,393,20.8,.533,.006,.393,6.0,17.8,11.9,13.8,2.7,2.0,11.3,27.3,0.6,0.4,1.0,.118,2.4,0.5,2.8,0.5,2012
James Harden,SG,22,OKC,20,630,20.9,.605,.364,.589,2.5,16.6,9.7,17.2,2.6,0.3,13.5,23.2,2.0,0.4,2.4,.184,2.9,0.6,3.5,0.9,2012
Roy Hibbert,C,25,IND,11,340,20.8,.538,.010,.346,15.5,26.4,21.0,6.5,0.6,8.3,15.5,19.3,0.5,0.7,1.3,.179,1.7,2.0,3.7,0.5,2012
Jrue Holiday,PG,21,PHI,13,494,18.0,.519,.274,.246,3.7,10.6,6.9,26.2,2.2,1.2,11.6,21.7,0.7,0.8,1.5,.148,3.1,2.4,5.5,0.9,2012
Andre Iguodala,SF,28,PHI,13,505,13.4,.478,.325,.371,3.6,13.4,8.2,17.2,2.0,0.8,9.8,18.4,0.3,0.8,1.1,.104,0.5,1.6,2.0,0.5,2012
LeBron James,SF,27,MIA,23,983,30.3,.576,.169,.466,6.8,20.5,13.8,28.1,2.4,1.3,11.8,33.4,4.2,1.6,5.8,.284,8.1,2.5,10.5,3.1,2012
Joe Johnson,SG,30,ATL,6,243,11.7,.458,.353,.235,2.7,7.6,5.0,17.4,1.8,0.3,12.4,25.4,-0.2,0.4,0.2,.042,1.0,-0.2,0.7,0.2,2012
DeAndre Jordan,C,23,LAC,11,249,12.7,.494,.000,.600,8.9,19.7,14.3,2.6,1.5,5.7,12.2,11.2,0.1,0.3,0.4,.071,-0.8,0.7,-0.2,0.1,2012
Kawhi Leonard,SF,20,SAS,14,379,15.1,.623,.444,.178,5.8,19.2,12.8,3.1,2.3,1.1,11.8,13.5,0.6,0.5,1.2,.146,1.6,2.2,3.7,0.5,2012
Tony Parker,PG,29,SAS,14,506,19.4,.535,.093,.391,1.9,9.3,5.8,31.9,1.3,0.0,14.3,28.3,1.1,0.3,1.4,.134,2.3,-1.1,1.1,0.4,2012
Chris Paul,PG,26,LAC,11,423,20.0,.525,.238,.287,1.8,14.5,8.1,37.7,3.8,0.2,18.9,26.0,0.5,0.4,0.9,.103,2.6,1.1,3.7,0.6,2012
Zach Randolph,PF,30,MEM,7,248,15.0,.464,.045,.398,12.9,21.4,17.0,4.7,1.5,1.4,9.6,21.4,0.2,0.3,0.6,.110,0.1,-0.4,-0.3,0.1,2012
Rajon Rondo,PG,25,BOS,19,810,22.0,.505,.100,.186,5.3,13.2,9.4,54.0,3.0,0.2,18.1,24.0,1.3,1.3,2.6,.155,4.4,2.1,6.4,1.7,2012
Jeff Teague,PG,23,ATL,6,225,14.3,.516,.233,.260,2.0,9.9,5.7,21.4,1.2,1.8,10.9,19.5,0.3,0.4,0.7,.139,1.3,1.5,2.8,0.3,2012
Dwyane Wade,SG,30,MIA,23,907,22.0,.526,.080,.390,4.4,11.5,8.0,21.9,2.3,2.7,12.0,29.9,1.8,1.3,3.1,.165,3.9,1.4,5.3,1.7,2012
Russell Westbrook,PG,23,OKC,20,767,22.6,.506,.160,.273,3.5,13.4,8.5,28.0,2.1,0.9,9.0,30.7,1.8,0.3,2.1,.133,3.9,-0.5,3.4,1.0,2012
Jimmy Butler,SF,23,CHI,12,490,14.4,.575,.322,.478,2.2,13.7,7.8,10.7,1.7,1.0,10.3,15.0,0.9,0.2,1.1,.105,0.8,1.7,2.5,0.5,2013
Stephen Curry,PG,24,GSW,12,497,20.5,.558,.451,.162,1.2,8.8,5.2,33.3,2.1,0.3,13.7,26.2,1.3,0.3,1.7,.161,4.5,0.2,4.7,0.8,2013
Kevin Durant,SF,24,OKC,11,485,26.0,.574,.285,.455,1.6,21.1,11.5,29.2,1.5,2.1,12.7,31.9,1.5,0.7,2.1,.210,7.6,1.7,9.3,1.4,2013
Marc Gasol,C,28,MEM,15,609,19.4,.527,.000,.439,4.7,21.2,12.5,14.5,1.2,4.6,6.9,20.1,1.3,0.8,2.1,.168,2.3,2.8,5.1,1.1,2013
Paul George,SF,22,IND,19,780,16.6,.548,.375,.462,2.5,18.1,10.6,23.9,1.8,0.9,18.4,24.4,0.9,1.0,1.9,.118,1.4,2.3,3.7,1.1,2013
Draymond Green,SF,22,GSW,12,223,13.9,.551,.411,.304,7.4,17.7,12.8,12.5,1.4,3.5,15.9,15.1,0.3,0.3,0.6,.125,-0.3,3.3,3.1,0.3,2013
Blake Griffin,PF,23,LAC,6,158,16.3,.524,.000,.406,6.7,19.6,13.4,17.3,0.0,2.4,14.7,27.1,0.2,0.0,0.1,.045,1.0,-1.4,-0.4,0.1,2013
James Harden,SG,23,HOU,6,243,20.8,.548,.383,.574,2.3,16.3,9.2,21.0,2.5,2.2,15.8,31.0,0.4,0.1,0.5,.100,4.1,1.2,5.3,0.5,2013
Roy Hibbert,C,26,IND,19,694,21.2,.576,.000,.438,15.9,15.9,15.9,7.6,0.2,4.4,13.3,21.8,1.9,0.8,2.7,.187,1.8,1.0,2.9,0.9,2013
Al Horford,C,26,ATL,6,218,19.1,.527,.000,.325,5.9,21.1,13.3,16.8,1.4,1.9,8.7,22.6,0.3,0.3,0.6,.136,2.3,1.3,3.6,0.3,2013
Andre Iguodala,SG,29,DEN,6,243,19.9,.621,.382,.329,4.0,20.9,11.6,21.3,2.4,0.7,16.3,18.3,0.6,0.1,0.7,.140,4.3,2.3,6.6,0.5,2013
LeBron James,PF,28,MIA,23,960,28.1,.585,.222,.405,4.8,19.7,12.4,30.5,2.3,1.6,12.1,29.2,3.7,1.5,5.2,.260,8.4,2.0,10.4,3.0,2013
Joe Johnson,SG,31,BRK,7,271,11.7,.486,.379,.087,1.7,8.1,4.9,12.1,1.6,0.0,10.1,20.7,0.1,0.2,0.2,.042,-0.7,-1.1,-1.8,0.0,2013
Kyle Korver,SF,31,ATL,6,177,10.1,.562,.694,.245,0.0,12.7,6.2,3.9,0.6,1.9,10.0,16.2,0.1,0.1,0.2,.065,-0.1,-0.5,-0.6,0.1,2013
Kawhi Leonard,SF,21,SAS,21,775,18.9,.611,.280,.232,7.7,20.1,14.1,4.6,2.6,1.1,9.0,15.6,1.7,1.4,3.1,.194,2.5,2.5,5.1,1.4,2013
Tony Parker,PG,30,SAS,21,765,21.5,.521,.085,.307,2.2,7.8,5.1,34.6,1.7,0.3,11.3,28.9,1.7,0.8,2.4,.152,3.8,0.0,3.8,1.1,2013
Chris Paul,PG,27,LAC,6,224,29.2,.633,.207,.402,1.8,11.6,6.9,33.0,2.7,0.0,7.7,25.4,1.2,0.0,1.2,.267,8.3,1.4,9.7,0.7,2013
Zach Randolph,PF,31,MEM,15,554,17.7,.509,.005,.437,12.1,20.8,16.2,8.4,1.0,1.1,10.8,24.2,0.7,0.6,1.3,.111,0.7,-0.3,0.4,0.3,2013
Jeff Teague,PG,24,ATL,6,213,10.9,.429,.123,.346,1.5,7.4,4.4,25.4,2.2,0.8,13.0,23.9,-0.2,0.2,0.0,-0.011,-1.6,-0.9,-2.6,0.0,2013
Klay Thompson,SG,22,GSW,12,495,10.1,.515,.339,.034,2.1,9.9,6.2,7.0,1.2,1.1,12.0,18.1,0.1,0.3,0.4,.042,-1.3,0.1,-1.2,0.1,2013
Dwyane Wade,SG,31,MIA,22,782,18.7,.498,.013,.254,6.1,9.9,8.1,24.2,2.7,2.5,14.2,25.3,0.7,1.0,1.8,.108,2.6,0.5,3.1,1.0,2013
Deron Williams,PG,28,BRK,7,292,20.6,.572,.406,.425,0.4,8.8,4.5,34.6,1.3,1.0,14.3,23.7,0.8,0.2,1.0,.169,4.9,-0.6,4.4,0.5,2013
