Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
LaMarcus Aldridge,PF,26,POR,55,55,36.3,8.8,17.1,.512,0.0,0.2,.182,8.7,16.9,.516,.513,4.1,5.0,.814,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,21.7,2012
Jimmy Butler,SG,22,CHI,42,0,8.5,0.8,1.9,.405,0.0,0.3,.182,0.7,1.6,.441,.418,1.0,1.3,.768,0.5,0.8,1.3,0.3,0.3,0.1,0.3,0.5,2.6,2012
Stephen Curry,PG,23,GSW,26,23,28.2,5.6,11.4,.490,2.1,4.7,.455,3.5,6.7,.514,.583,1.5,1.8,.809,0.6,2.8,3.4,5.3,1.5,0.3,2.5,2.4,14.7,2012
DeMar DeRozan,SG,22,TOR,63,63,35.0,6.0,14.3,.422,0.4,1.5,.261,5.7,12.9,.440,.435,4.3,5.3,.810,0.6,2.7,3.3,2.0,0.8,0.3,2.0,2.6,16.7,2012
Goran Dragic,PG,25,HOU,66,28,26.5,4.2,9.1,.462,1.0,3.1,.337,3.2,6.0,.525,.518,2.3,2.9,.805,0.8,1.7,2.5,5.3,1.3,0.2,2.4,2.5,11.7,2012
Kevin Durant,SF,23,OKC,66,66,38.6,9.7,19.7,.496,2.0,5.2,.387,7.7,14.4,.535,.547,6.5,7.6,.860,0.6,7.4,8.0,3.5,1.3,1.2,3.8,2.0,28.0,2012
Marc Gasol,C,27,MEM,65,65,36.5,5.5,11.4,.482,0.0,0.2,.083,5.5,11.2,.489,.483,3.6,4.9,.748,1.8,7.1,8.9,3.1,1.0,1.9,1.9,3.1,14.6,2012
Pau Gasol,PF,31,LAL,65,65,37.4,7.1,14.1,.501,0.1,0.4,.259,7.0,13.7,.508,.504,3.1,4.0,.782,2.8,7.6,10.4,3.6,0.6,1.4,2.2,2.0,17.4,2012
Paul George,SG,21,IND,66,66,29.7,4.3,9.7,.440,1.4,3.5,.385,2.9,6.1,.472,.510,2.2,2.8,.802,0.8,4.8,5.6,2.4,1.6,0.6,1.8,2.9,12.1,2012
Blake Griffin,PF,22,LAC,66,66,36.2,8.5,15.5,.549,0.0,0.2,.125,8.5,15.2,.556,.550,3.7,7.1,.521,3.3,7.6,10.9,3.2,0.8,0.7,2.3,3.3,20.7,2012
James Harden,SG,22,OKC,62,2,31.4,5.0,10.1,.491,1.8,4.7,.390,3.1,5.4,.579,.582,5.0,6.0,.846,0.5,3.6,4.1,3.7,1.0,0.2,2.2,2.4,16.8,2012
Roy Hibbert,C,25,IND,65,65,29.8,5.1,10.3,.497,0.0,0.0,.000,5.1,10.3,.498,.497,2.6,3.7,.711,3.3,5.5,8.8,1.7,0.5,2.0,2.0,3.0,12.8,2012
Jrue Holiday,PG,21,PHI,65,65,33.8,5.5,12.8,.432,1.0,2.6,.380,4.5,10.2,.445,.471,1.4,1.8,.783,0.9,2.4,3.3,4.5,1.6,0.3,2.1,2.1,13.5,2012
Al Horford,C,25,ATL,11,11,31.6,5.2,9.4,.553,0.0,0.1,.000,5.2,9.3,.559,.553,2.0,2.7,.733,2.4,4.6,7.0,2.2,0.9,1.3,1.5,1.9,12.4,2012
Dwight Howard,C,26,ORL,54,54,38.3,7.7,13.4,.573,0.0,0.1,.000,7.7,13.3,.579,.573,5.2,10.6,.491,3.7,10.8,14.5,1.9,1.5,2.1,3.2,2.9,20.6,2012
Andre Iguodala,SF,28,PHI,62,62,35.6,4.6,10.2,.454,1.2,3.1,.394,3.4,7.1,.481,.514,2.0,3.2,.617,0.9,5.2,6.1,5.5,1.7,0.5,1.9,1.5,12.4,2012
Kyrie Irving,PG,19,CLE,51,51,30.5,6.9,14.6,.469,1.4,3.6,.399,5.4,11.1,.491,.517,3.4,3.8,.872,0.9,2.9,3.7,5.4,1.1,0.4,3.1,2.2,18.5,2012
LeBron James,SF,27,MIA,62,62,37.5,10.0,18.9,.531,0.9,2.4,.362,9.1,16.5,.556,.554,6.2,8.1,.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,2012
Joe Johnson,SG,30,ATL,60,60,35.5,7.1,15.5,.454,2.1,5.4,.388,5.0,10.2,.489,.521,2.6,3.1,.849,0.9,2.8,3.7,3.9,0.8,0.2,1.9,1.3,18.8,2012
DeAndre Jordan,C,23,LAC,66,66,27.2,3.1,4.9,.632,0.0,0.0,.000,3.1,4.9,.634,.632,1.1,2.1,.525,3.1,5.2,8.3,0.3,0.5,2.0,1.1,2.9,7.4,2012
Kyle Korver,SG,30,CHI,65,7,22.6,2.7,6.3,.432,1.8,4.2,.435,0.9,2.2,.426,.575,0.8,1.0,.833,0.4,2.0,2.4,1.7,0.6,0.2,0.8,1.7,8.1,2012
