Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
Jimmy Butler,SG,22,CHI,3,0,1.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2012
Kevin Durant,SF,23,OKC,20,20,41.9,9.9,19.2,.517,2.1,5.5,.373,7.9,13.7,.575,.570,6.7,7.7,.864,0.7,6.8,7.4,3.7,1.5,1.2,3.2,2.6,28.5,2012
Marc Gasol,C,27,MEM,7,7,37.3,5.1,9.9,.522,0.0,0.1,.000,5.1,9.7,.529,.522,4.9,6.1,.791,2.3,4.4,6.7,3.1,0.3,1.9,1.9,3.6,15.1,2012
Pau Gasol,PF,31,LAL,12,12,37.0,5.2,11.9,.434,0.2,0.4,.400,5.0,11.5,.435,.441,2.0,2.4,.828,3.2,6.3,9.5,3.7,0.5,2.1,1.7,3.0,12.5,2012
Paul George,SG,21,IND,11,11,33.7,3.4,8.6,.389,1.0,3.7,.268,2.4,4.9,.481,.447,2.0,2.5,.786,1.4,5.3,6.6,2.4,1.6,0.4,1.9,2.9,9.7,2012
Blake Griffin,PF,22,LAC,11,11,35.7,7.6,15.3,.500,0.0,0.1,.000,7.6,15.2,.503,.500,3.8,6.0,.636,1.7,5.2,6.9,2.5,1.8,0.9,2.3,3.7,19.1,2012
James Harden,SG,22,OKC,20,0,31.5,4.7,10.7,.435,1.6,3.9,.410,3.1,6.8,.449,.509,5.4,6.3,.857,0.7,4.5,5.1,3.4,1.6,0.1,2.1,3.4,16.3,2012
Roy Hibbert,C,25,IND,11,11,30.9,4.7,9.5,.500,0.1,0.1,1.000,4.6,9.4,.495,.505,2.2,3.3,.667,4.1,7.1,11.2,1.1,0.4,3.1,2.0,3.5,11.7,2012
Jrue Holiday,PG,21,PHI,13,13,38.0,5.7,13.8,.413,1.5,3.8,.408,4.2,10.0,.415,.469,2.9,3.4,.864,1.3,3.4,4.7,5.2,1.5,0.6,2.0,1.8,15.8,2012
Al Horford,C,25,ATL,3,2,36.0,6.7,11.3,.588,0.0,0.0,,6.7,11.3,.588,.588,2.0,2.7,.750,1.7,6.7,8.3,2.7,1.3,1.3,4.0,3.7,15.3,2012
Andre Iguodala,SF,28,PHI,13,13,38.8,4.5,11.6,.384,1.5,3.8,.388,3.0,7.8,.382,.447,2.5,4.3,.589,1.3,4.4,5.7,3.7,1.5,0.4,1.5,2.5,12.9,2012
LeBron James,SF,27,MIA,23,23,42.7,10.9,21.8,.500,1.0,3.7,.259,10.0,18.1,.549,.522,7.5,10.2,.739,2.3,7.4,9.7,5.6,1.9,0.7,3.5,2.0,30.3,2012
Joe Johnson,SG,30,ATL,6,6,40.5,6.3,17.0,.373,1.5,6.0,.250,4.8,11.0,.439,.417,3.0,4.0,.750,1.0,2.5,3.5,3.5,1.3,0.2,2.7,1.8,17.2,2012
DeAndre Jordan,C,23,LAC,11,11,22.6,1.9,3.6,.525,0.0,0.0,,1.9,3.6,.525,.525,0.7,2.2,.333,1.6,3.6,5.3,0.4,0.6,1.6,0.6,1.8,4.5,2012
Kyle Korver,SG,30,CHI,6,0,15.7,1.5,3.7,.409,0.7,2.2,.308,0.8,1.5,.556,.500,0.2,0.3,.500,0.2,1.5,1.7,1.5,0.5,0.5,0.8,1.7,3.8,2012
Kawhi Leonard,SF,20,SAS,14,14,27.1,3.2,6.4,.500,1.3,2.9,.450,1.9,3.6,.540,.600,0.9,1.1,.813,1.3,4.6,5.9,0.6,1.2,0.4,0.9,1.6,8.6,2012
Paul Millsap,PF,26,UTA,4,4,34.8,5.0,13.5,.370,0.0,0.8,.000,5.0,12.8,.392,.370,2.0,4.0,.500,4.3,6.8,11.0,0.5,0.3,2.5,2.3,2.8,12.0,2012
Tony Parker,PG,29,SAS,14,14,36.1,7.3,16.1,.453,0.5,1.5,.333,6.8,14.6,.466,.469,5.1,6.3,.807,0.6,3.0,3.6,6.8,0.9,0.0,3.1,1.6,20.1,2012
